Date,Insect Repellent,Carrots,Cheese,Dustpan,Hair Gel,Toothbrush,Toothpaste,Pasta,Milk,Water,BBQ Sauce,Chicken,Orange,Trash Cans,Deodorant,Honey,Soap,Extension Cords,Potatoes,Mustard,Bath Towels,Paper Towels,Syrup,Tuna,Cereal,Onions,Rice,Banana,Air Freshener,Mop,Tissues,Mayonnaise,Chips,Tea,Eggs,Laundry Detergent,Yogurt,Spinach,Shampoo,Salmon,Razors,Pancake Mix,Olive Oil,Ironing Board,Hand Sanitizer,Dish Soap,Bread,Cleaning Spray,Sponges,Toilet Paper,Iron,Lawn Mower,Shaving Cream,Cleaning Rags,Garden Hose,Shrimp,Power Strips,Pickles,Tomatoes,Vinegar,Dishware,Ketchup,Broom,Peanut Butter,Trash Bags,Ice Cream,Beef,Shower Gel,Cereal Bars,Feminine Hygiene Products,Diapers,Canned Soup,Jam,Butter,Apple,Baby Wipes,Light Bulbs,Soda,Plant Fertilizer,Coffee,Vacuum Cleaner
2020-01-16,19,21,32,36,20,23,39,19,30,25,26,26,21,28,26,19,26,24,26,20,22,27,25,18,21,25,25,27,23,17,20,20,20,30,28,22,19,13,23,22,14,23,22,25,27,28,21,28,23,27,27,19,24,28,25,20,24,28,23,18,17,20,26,23,28,26,24,28,28,32,22,17,22,19,20,23,22,30,29,19,17
2020-01-17,23,23,19,20,20,30,46,19,21,22,35,25,22,25,24,28,27,24,32,26,20,28,21,26,16,22,23,25,20,22,30,25,15,27,22,32,17,20,20,22,19,30,21,25,27,29,20,17,29,21,23,11,29,23,32,28,24,23,23,18,21,34,20,26,25,19,20,15,22,26,31,18,25,21,22,23,25,24,19,31,28
2020-01-18,17,21,15,19,22,27,49,22,20,27,27,20,26,26,25,20,17,30,20,25,30,15,20,23,18,12,22,30,27,17,12,26,24,18,19,16,18,21,25,20,19,16,21,17,18,29,29,25,29,26,14,31,16,22,27,28,29,20,18,17,24,21,17,23,18,21,23,14,27,24,15,21,16,23,19,17,28,19,18,20,16
2020-01-19,28,18,12,25,13,16,44,25,25,36,30,17,18,24,23,28,28,26,27,24,19,22,21,25,25,23,18,12,26,20,18,23,25,19,23,30,18,21,17,32,14,26,18,19,22,23,27,25,20,17,20,17,20,23,21,32,20,25,25,22,21,12,23,26,23,37,16,15,16,28,21,23,20,24,27,21,24,29,18,22,19
2020-01-20,16,27,25,26,20,22,47,24,26,30,25,25,21,23,20,18,28,22,24,20,24,15,22,22,29,29,16,28,20,20,21,22,19,18,25,22,22,31,27,17,13,26,22,24,29,29,27,22,19,29,29,19,26,26,22,24,21,24,21,24,25,17,20,23,29,26,21,17,23,22,25,24,24,16,24,23,23,27,30,17,16
2020-01-21,25,22,23,23,24,19,68,18,22,23,20,29,25,19,20,22,25,31,20,30,32,31,30,15,26,30,35,19,20,23,27,19,23,29,20,25,15,23,29,18,25,21,22,23,23,24,23,27,24,23,27,30,24,15,22,27,25,24,31,24,26,22,28,17,24,32,31,30,32,20,23,31,28,27,27,30,21,17,27,16,26
2020-01-22,19,29,15,25,23,26,36,20,20,29,24,23,27,17,24,20,31,31,23,20,27,26,17,24,18,24,20,27,29,19,29,19,25,22,16,26,23,23,15,22,27,27,13,32,21,15,26,17,20,34,22,24,23,25,26,24,24,18,16,25,16,26,21,28,25,30,29,25,20,26,19,20,24,20,30,23,20,21,25,21,22
2020-01-23,27,32,19,16,27,32,43,30,22,24,18,24,10,37,36,20,27,23,31,23,30,23,18,25,23,28,26,23,26,28,27,21,26,22,18,20,23,22,29,28,20,30,27,26,20,22,20,29,29,17,31,20,22,31,26,22,28,17,22,19,19,20,24,30,19,26,17,24,21,17,19,25,23,20,21,20,33,22,16,29,13
2020-01-24,28,17,27,14,23,23,47,26,19,25,24,30,18,21,28,28,21,24,21,18,33,19,25,23,24,29,29,25,26,28,17,21,31,25,30,20,29,21,18,23,20,24,19,20,23,29,24,21,32,21,19,20,21,19,17,21,20,16,13,25,24,32,23,31,19,22,25,24,21,21,19,38,30,18,27,19,18,24,22,16,23
2020-01-25,27,21,21,28,21,33,47,31,17,26,25,27,23,19,22,17,27,31,22,31,21,25,22,25,27,29,29,17,23,25,30,15,16,16,18,26,23,14,25,21,18,18,17,19,22,27,23,22,26,28,21,19,29,17,28,24,22,17,24,25,32,25,21,23,22,28,21,25,23,17,30,18,26,25,24,22,23,23,18,24,24
2020-01-26,17,28,18,26,24,22,61,25,24,28,25,21,26,25,28,29,26,34,22,24,26,25,18,27,23,18,25,22,23,25,18,26,25,23,20,19,26,20,18,23,19,26,25,26,30,20,24,23,16,16,22,22,24,25,24,23,21,16,18,18,17,17,15,19,13,23,27,31,15,18,25,21,33,24,29,22,20,19,23,19,18
2020-01-27,24,23,25,27,19,15,41,17,22,16,22,29,24,22,21,23,26,21,23,16,20,18,29,12,23,20,28,23,25,24,21,18,21,21,20,27,29,31,18,22,12,23,25,30,15,21,27,18,23,26,32,28,15,19,33,21,19,25,28,23,24,21,19,32,21,11,17,26,14,35,18,22,25,25,27,20,27,26,17,24,21
2020-01-28,21,23,23,29,26,25,46,31,22,26,22,17,22,23,23,21,23,19,16,25,20,24,20,17,26,25,30,20,21,23,18,22,23,25,24,24,27,21,23,22,25,25,27,20,16,22,23,23,16,15,26,29,33,22,22,25,29,16,21,22,18,16,17,26,28,20,19,22,22,23,25,16,23,23,26,25,14,15,19,18,24
2020-01-29,21,21,39,15,17,28,39,23,23,11,20,17,16,21,18,16,27,21,31,18,24,21,24,15,20,24,25,14,26,23,34,16,22,23,20,27,26,23,23,26,20,27,19,20,20,25,18,19,25,30,20,15,31,27,20,12,30,26,27,23,28,25,31,21,22,19,20,23,27,13,18,22,19,27,17,17,20,16,17,29,31
2020-01-30,23,25,31,23,17,29,45,19,28,28,17,27,26,21,20,22,24,26,23,30,22,22,22,24,18,22,25,25,29,21,18,21,21,18,32,17,17,17,19,28,18,23,24,13,19,18,24,18,18,25,22,29,22,16,31,20,19,19,22,22,23,24,27,29,27,24,28,23,22,20,28,19,19,26,30,22,29,28,30,27,18
2020-01-31,21,30,26,28,26,19,40,14,26,21,23,26,27,31,24,25,27,23,33,32,30,22,27,27,22,24,23,16,25,28,26,21,20,21,22,15,22,20,22,23,27,21,21,23,23,32,20,27,19,21,29,41,24,24,16,19,28,21,19,25,23,22,23,29,20,24,28,25,24,16,27,28,21,18,25,23,33,28,25,18,26
2020-02-01,26,21,19,22,26,26,45,27,21,18,22,20,24,18,20,31,21,14,25,22,19,24,27,17,17,23,23,21,14,29,31,17,21,19,19,30,17,25,24,16,30,23,21,23,15,26,34,26,18,23,25,27,17,20,31,21,26,19,20,19,15,20,20,16,18,23,17,17,25,21,21,25,20,27,26,31,19,17,22,27,27
2020-02-02,23,25,30,16,29,22,59,22,12,25,21,31,20,26,29,27,27,22,32,18,29,31,39,24,24,18,15,21,30,27,22,24,30,21,31,32,28,22,22,24,18,22,32,22,23,17,28,27,24,20,30,19,24,31,23,22,21,26,30,36,22,25,26,29,28,20,39,29,27,27,17,16,18,26,27,25,33,22,21,27,21
2020-02-03,23,25,14,13,20,22,43,17,18,22,25,23,24,19,22,24,18,23,30,21,19,30,22,26,20,17,20,12,21,22,25,22,25,22,21,25,22,29,15,22,28,22,23,18,33,14,21,24,21,27,20,20,18,22,18,21,22,13,24,30,27,20,21,25,23,20,22,29,20,23,22,21,14,28,24,27,13,21,20,30,23
2020-02-04,28,23,13,19,20,22,32,23,16,11,16,22,24,14,21,28,16,20,30,18,18,28,22,16,32,21,25,23,24,22,22,19,24,22,15,20,14,14,22,23,19,19,25,20,25,18,14,20,26,22,30,22,21,21,24,21,19,17,13,31,20,25,32,21,17,16,21,24,27,22,20,23,32,26,10,21,26,22,17,22,25
2020-02-05,29,14,18,25,21,32,44,23,29,25,29,22,23,26,27,20,23,23,21,22,24,23,23,11,12,19,22,29,24,16,24,18,27,20,16,15,24,22,19,25,22,14,20,26,21,18,18,17,20,16,24,28,15,24,27,21,28,22,25,21,19,17,22,20,24,26,16,16,27,23,17,21,24,16,15,16,17,26,18,17,28
2020-02-06,25,18,28,28,22,23,45,20,19,27,21,18,25,18,22,24,28,17,22,20,20,27,22,15,18,22,24,22,22,23,33,25,24,19,22,26,22,15,26,27,25,21,27,25,18,21,32,22,31,16,27,15,22,20,30,15,24,38,27,33,20,24,13,21,33,22,15,23,25,20,23,23,24,25,19,24,22,35,22,21,19
2020-02-07,20,33,20,33,16,24,46,22,23,18,33,25,28,32,23,20,15,19,19,22,32,18,22,33,21,24,19,17,23,19,28,26,22,20,20,21,23,30,24,25,18,21,19,20,25,23,25,28,20,24,26,25,15,21,15,22,29,28,20,15,26,29,17,18,25,26,30,20,31,21,18,25,24,26,26,30,14,14,24,21,18
2020-02-08,22,8,23,11,27,21,46,19,28,29,21,18,16,24,16,16,24,20,26,14,24,28,33,24,17,15,26,23,22,26,17,21,23,28,21,22,19,17,24,20,25,24,19,24,19,32,9,20,20,23,26,24,24,17,23,20,28,23,21,23,11,21,21,23,30,8,22,16,16,25,13,28,26,22,18,30,18,25,20,26,32
2020-02-09,22,23,30,17,27,26,47,23,27,26,24,25,18,25,22,17,23,20,24,18,24,21,18,19,25,19,21,26,26,22,22,27,20,23,40,30,26,21,20,22,22,21,19,28,26,20,21,22,26,25,23,14,26,27,23,25,21,24,37,26,22,18,18,28,26,32,29,28,25,17,21,23,30,22,24,26,21,23,21,28,24
2020-02-10,23,19,27,17,30,26,40,23,19,25,33,26,22,25,33,16,15,22,21,30,20,19,28,31,22,29,23,27,26,27,17,14,22,18,23,26,25,23,25,25,24,24,22,24,28,27,19,26,26,28,25,19,16,28,23,15,34,22,15,21,35,27,40,24,26,20,21,30,20,17,28,17,22,30,22,27,27,25,31,29,26
2020-02-11,18,27,30,31,24,24,52,22,22,22,23,25,26,24,18,23,27,23,23,22,22,22,27,22,26,27,15,21,23,23,22,30,16,23,21,16,21,36,24,34,25,29,27,22,25,26,17,27,23,35,24,23,26,22,24,21,26,20,21,23,24,24,20,31,36,22,29,20,32,18,24,20,20,26,23,20,22,29,21,26,21
2020-02-12,22,17,20,21,12,29,45,14,27,26,26,19,26,14,18,29,20,26,25,25,19,23,19,20,25,23,23,26,35,28,23,34,24,24,28,13,32,17,14,22,24,23,30,17,17,14,25,22,27,21,13,23,23,23,27,24,15,33,10,24,19,18,18,27,19,18,18,20,20,27,26,24,26,26,11,20,22,25,16,17,21
2020-02-13,24,16,14,23,24,24,30,28,21,20,20,24,17,30,24,25,19,22,23,27,22,28,21,27,14,24,20,21,27,22,26,26,19,18,20,12,29,33,29,26,22,17,24,23,16,21,16,17,22,28,28,18,21,14,28,26,17,21,25,23,22,19,21,27,22,16,19,16,23,20,21,17,27,12,25,25,12,18,11,26,20
2020-02-14,27,25,26,19,21,26,36,24,22,20,24,24,23,15,17,27,22,17,17,23,22,24,24,15,27,21,13,18,16,26,20,21,19,30,16,20,18,29,23,18,15,16,23,19,20,21,27,20,20,23,20,23,26,25,26,26,23,22,16,30,26,20,26,28,19,19,20,26,22,24,25,24,20,20,22,20,25,31,22,22,27
2020-02-15,24,26,27,17,21,14,43,26,20,27,31,28,18,21,23,30,32,30,28,20,26,21,33,24,15,15,33,27,31,27,19,25,22,26,20,22,15,19,22,27,20,30,22,18,21,25,20,26,27,21,15,25,31,19,25,14,24,25,26,24,25,15,25,23,29,25,21,25,21,29,16,26,32,27,26,13,20,29,23,30,27
2020-02-16,16,26,23,25,22,23,51,21,22,16,18,27,17,20,29,25,20,27,26,17,19,26,22,27,15,21,28,26,23,25,34,20,22,20,27,22,29,23,19,21,22,24,20,25,22,27,20,25,37,16,22,25,17,32,27,22,28,22,23,26,22,15,25,20,24,28,26,25,22,15,21,17,33,21,25,27,25,28,31,18,35
2020-02-17,22,18,20,21,27,20,47,25,20,24,21,21,16,30,14,23,17,15,24,23,26,17,21,20,21,24,19,23,26,25,26,23,28,21,25,28,23,30,23,22,21,22,22,15,26,21,26,25,21,33,27,24,24,20,22,22,28,24,18,20,25,23,20,24,24,20,27,23,19,22,27,23,19,22,31,24,20,27,18,25,25
2020-02-18,21,38,22,22,25,20,36,26,18,25,26,18,29,21,22,24,27,22,19,29,16,31,17,26,22,29,20,24,24,26,14,30,27,28,27,15,19,28,27,22,23,21,19,19,24,20,27,20,13,33,21,27,22,18,20,16,22,15,30,26,23,26,24,34,19,25,22,30,25,18,23,22,20,16,20,18,25,23,27,18,26
2020-02-19,30,27,17,20,26,23,55,25,21,24,22,28,25,16,25,29,22,18,18,19,16,18,19,20,16,22,21,17,25,24,29,26,26,19,21,28,20,22,18,27,39,22,22,25,25,25,23,21,26,18,22,24,27,18,28,25,21,28,32,25,20,15,32,18,20,22,28,19,29,21,18,14,28,20,23,19,22,22,19,27,22
2020-02-20,19,17,34,19,21,26,48,23,27,30,27,19,24,25,19,23,25,20,16,23,23,25,20,23,16,22,20,20,17,16,29,22,21,40,22,16,24,14,23,24,18,17,25,21,17,18,20,21,22,32,27,21,26,20,17,19,18,25,26,30,25,22,26,31,29,25,33,22,23,17,23,30,24,34,26,15,24,25,19,19,22
2020-02-21,26,30,25,14,18,29,55,25,26,23,22,22,27,22,27,33,20,18,24,13,20,27,24,22,23,18,27,26,27,11,28,17,23,28,28,25,22,13,15,29,15,32,31,22,32,19,26,13,25,22,21,23,22,19,24,24,21,26,21,24,26,23,28,17,25,22,22,21,18,19,24,33,17,28,22,22,19,28,23,34,21
2020-02-22,27,25,24,32,28,34,50,20,17,21,23,25,24,22,16,24,36,17,32,32,25,22,24,24,19,25,21,18,27,27,31,20,19,20,24,24,19,21,26,21,28,21,20,16,20,24,18,20,25,30,16,17,33,27,25,16,13,26,18,30,22,27,24,28,18,20,29,23,21,32,26,20,17,20,26,22,19,21,22,25,28
2020-02-23,24,29,22,28,23,18,50,29,26,28,27,27,26,35,26,23,22,28,19,21,25,24,20,20,24,23,22,27,28,29,20,20,21,16,20,23,20,29,24,24,26,25,24,29,29,22,23,20,23,26,24,24,22,23,30,20,31,29,27,25,23,21,22,22,23,20,29,19,17,16,30,19,27,27,20,14,17,29,15,26,28
2020-02-24,24,23,27,17,19,26,47,19,17,24,25,20,21,22,21,22,22,20,19,21,21,23,24,22,19,20,20,31,20,17,25,19,25,32,19,16,16,21,21,16,23,26,21,25,22,17,19,27,21,27,18,27,35,25,22,28,24,31,21,30,20,21,25,22,32,16,29,33,25,18,22,19,26,32,24,26,21,25,21,29,24
2020-02-25,16,19,29,19,26,26,61,32,18,18,19,24,14,27,22,22,27,24,20,21,17,23,25,30,22,19,26,26,16,19,25,21,29,22,25,18,28,29,29,15,16,27,25,21,26,26,29,24,26,18,17,33,23,19,20,19,22,23,22,21,22,26,19,18,24,20,24,19,28,23,31,23,18,23,17,29,23,26,31,18,24
2020-02-26,25,28,24,27,18,18,49,31,29,21,24,28,22,27,27,23,22,24,17,25,29,19,29,26,26,31,29,22,24,17,36,15,23,25,23,18,25,30,34,26,25,37,25,19,21,24,38,27,27,21,19,21,23,22,20,20,22,16,28,21,24,31,19,26,16,26,25,23,25,24,18,25,36,25,24,21,21,21,31,18,19
2020-02-27,25,32,25,22,22,22,40,23,22,23,25,23,19,22,18,27,27,20,23,22,31,25,23,21,22,23,30,28,20,22,20,28,17,31,18,23,28,25,26,34,31,18,23,34,25,25,24,23,25,26,16,23,26,24,28,21,14,24,23,23,29,31,21,18,15,18,27,31,25,23,26,28,36,20,27,24,20,23,15,21,24
2020-02-28,29,17,22,22,15,22,52,22,18,17,22,26,23,24,22,22,23,22,24,13,21,20,26,20,18,23,23,22,28,27,21,35,17,24,23,22,17,26,20,21,24,18,22,21,28,22,10,32,23,21,24,27,20,23,33,26,19,23,24,22,26,16,21,18,15,23,32,16,20,23,29,28,20,24,18,26,17,22,24,23,20
2020-02-29,18,23,23,20,33,22,47,23,22,15,24,28,24,28,28,27,17,18,21,17,21,18,15,36,24,20,22,19,24,31,21,18,28,26,17,27,23,15,23,30,18,19,29,16,24,19,21,25,24,16,27,11,17,27,28,16,27,24,20,21,17,21,25,17,21,27,19,26,20,21,26,19,28,16,26,26,20,22,24,22,19
2020-03-01,16,21,29,23,30,26,49,19,25,22,24,17,31,25,24,23,30,32,23,17,30,19,27,23,23,23,26,18,25,31,23,21,34,18,13,27,23,20,22,25,27,16,28,24,19,21,25,28,17,24,24,17,16,25,24,20,19,24,21,29,23,27,31,26,23,23,29,20,28,23,23,25,18,21,22,21,16,26,24,21,31
2020-03-02,23,23,24,22,18,28,41,22,30,21,19,20,13,25,17,18,21,20,27,19,16,33,27,19,15,22,25,18,26,22,17,20,28,23,18,22,26,18,25,20,20,29,19,22,15,21,25,25,14,19,24,21,26,26,21,23,28,32,25,21,29,25,23,23,19,25,28,18,23,17,19,24,24,18,20,24,35,22,22,38,21
2020-03-03,30,14,16,19,22,21,40,31,23,23,23,20,23,22,30,21,26,24,22,33,15,23,17,16,31,11,27,18,20,21,19,23,25,21,18,14,15,23,28,23,19,21,32,13,12,19,22,24,22,30,22,24,29,21,20,22,20,23,18,22,24,21,27,29,14,21,18,29,21,19,23,23,19,29,16,16,16,19,23,27,24
2020-03-04,21,17,21,27,22,26,46,18,20,16,24,20,21,26,22,20,25,22,18,24,22,22,19,19,26,22,21,19,30,19,20,23,19,24,18,22,21,19,30,17,24,19,24,23,13,19,26,22,29,18,21,21,22,21,29,21,18,20,17,24,24,38,20,17,26,22,25,21,25,30,24,23,27,17,21,21,24,20,24,28,28
2020-03-05,24,16,22,20,22,26,41,20,27,28,23,39,21,25,19,21,21,29,24,23,20,27,19,22,35,28,18,19,24,20,26,31,22,14,23,26,23,24,29,25,30,22,28,19,17,19,28,22,17,25,17,28,27,23,29,32,19,25,31,27,32,21,28,25,25,32,27,18,29,14,23,22,29,28,19,17,18,24,21,18,29
2020-03-06,19,22,21,26,18,22,43,36,12,22,31,20,16,23,23,15,30,16,18,21,15,22,26,22,22,28,23,31,21,26,26,26,31,23,24,18,27,22,21,32,33,21,32,17,20,17,26,27,22,28,31,31,18,27,23,28,15,14,24,28,20,25,22,21,21,21,24,22,25,15,11,34,27,21,17,29,19,22,18,25,25
2020-03-07,19,17,26,19,30,22,45,9,23,25,22,22,20,15,18,15,22,24,25,21,20,22,34,28,24,24,21,26,29,15,25,21,22,22,22,14,23,29,18,13,22,29,22,16,19,34,23,13,26,18,21,21,21,13,29,25,19,19,26,23,22,20,31,25,13,16,19,29,27,28,15,24,20,25,26,26,25,20,25,19,20
2020-03-08,22,21,9,21,25,22,60,27,27,29,20,20,19,23,22,13,23,23,16,19,23,27,26,21,22,19,29,34,23,26,21,16,27,23,23,25,21,22,22,20,25,19,30,30,21,35,18,21,37,25,22,29,15,25,33,18,32,24,28,24,25,23,21,26,22,31,29,26,19,24,18,17,21,28,19,22,29,28,25,21,27
2020-03-09,24,24,22,21,30,25,25,20,30,24,19,32,20,23,19,26,32,30,22,24,35,23,28,27,18,27,24,20,34,19,31,29,22,16,29,23,16,22,25,33,22,19,32,22,22,19,23,26,13,29,27,27,22,23,18,31,21,19,16,21,14,28,17,20,28,19,23,30,16,22,26,26,34,26,21,30,22,19,26,23,19
2020-03-10,26,24,17,26,23,26,48,16,30,34,20,21,19,18,20,17,37,22,18,13,36,26,15,24,26,17,25,20,24,13,18,24,19,27,21,28,32,19,16,26,25,29,15,26,25,31,17,29,32,22,19,25,16,18,26,27,24,21,16,32,20,23,20,16,20,23,27,22,25,20,25,22,33,27,29,26,28,20,19,18,24
2020-03-11,20,23,19,31,21,20,42,30,13,20,14,18,23,26,30,27,27,21,20,21,24,30,27,26,17,22,29,24,30,19,21,23,16,17,23,17,17,29,23,22,18,36,27,24,15,10,23,31,15,18,29,10,21,21,22,25,16,21,21,25,22,17,23,21,27,25,20,17,25,21,16,30,16,23,25,25,22,22,19,23,22
2020-03-12,15,20,19,10,24,21,56,28,17,18,24,19,29,15,23,22,26,19,18,14,28,18,21,18,24,16,24,20,23,25,24,19,22,22,17,21,18,25,20,22,24,21,20,24,25,24,21,19,26,18,20,21,24,31,29,15,17,10,29,26,19,21,23,27,13,22,22,25,23,35,19,27,23,18,26,20,22,21,22,21,22
2020-03-13,29,23,20,21,28,15,44,24,22,20,20,20,16,24,21,17,15,20,30,16,14,10,23,27,17,16,21,23,16,19,28,22,26,22,13,21,22,19,24,24,23,21,25,19,23,24,24,23,16,19,21,20,24,31,22,22,25,27,21,27,25,15,23,24,20,25,18,23,21,27,21,22,18,25,25,26,12,20,21,22,25
2020-03-14,21,26,32,21,27,27,43,19,30,19,29,19,30,17,26,31,16,20,19,25,21,25,23,21,21,22,18,26,26,15,27,25,29,26,16,40,29,14,20,22,28,22,23,22,28,18,22,24,23,17,26,19,23,20,18,24,15,29,17,22,24,24,24,22,22,23,21,27,19,36,31,32,31,24,17,28,23,17,30,24,24
2020-03-15,19,19,18,20,16,15,37,18,21,19,28,22,32,23,27,15,14,24,17,17,15,17,29,21,19,25,20,23,21,19,21,18,18,26,18,26,17,13,30,21,20,16,26,21,26,13,15,27,28,21,18,26,22,19,16,27,17,11,28,22,12,31,23,22,23,23,28,20,33,28,21,17,26,23,22,14,24,30,24,22,14
2020-03-16,26,36,21,20,19,30,46,24,20,25,25,23,24,20,19,35,22,16,22,25,28,32,25,31,13,17,17,29,26,25,31,33,27,25,25,26,19,17,33,20,24,26,29,16,21,22,29,25,29,24,21,31,24,20,18,25,19,14,21,19,22,18,19,24,26,21,30,28,23,29,14,22,16,21,28,24,23,19,25,26,27
